"時点","地域コード","地域","総面積（北方地域及び竹島を除く）【ha】","注記","森林面積【ha】","注記","年平均気温【℃】","注記","最高気温（日最高気温の月平均の最高値）【℃】","注記","最低気温（日最低気温の月平均の最低値）【℃】","注記","快晴日数（年間）【日】","注記","曇天日数（年間）【日】","注記","降水日数（年間）【日】","注記"
"2019年","35000","山口県","611253","","436534","","16.3","","32.2","","0.4","","22","","","","100",""
"2019年","36000","徳島県","414675","","312858","","17.4","","32.0","","3.6","","22","","","","95",""
"2019年","37000","香川県","187679","","87077","","17.3","","32.4","","2.6","","19","","","","92",""
"2019年","38000","愛媛県","567616","","399954","","17.4","","32.0","","3.2","","22","","","","101",""
"2019年","39000","高知県","710364","","591873","","17.8","","31.4","","2.6","","34","","","","117",""
"2019年","40000","福岡県","498651","","221842","","17.9","","31.9","","4.4","","21","","","","110",""
"2019年","41000","佐賀県","244070","","110501","","17.7","","31.9","","2.4","","41","","","","106",""
"2019年","42000","長崎県","413100","","241657","","17.9","","31.1","","4.5","","25","","","","113",""
"2019年","43000","熊本県","740945","","457635","","17.7","","32.0","","2.1","","34","","","","113",""
"2019年","44000","大分県","634076","","448629","","17.4","","31.1","","3.3","","21","","","","107",""
"2019年","45000","宮崎県","773533","","584379","","18.4","","30.9","","4.2","","38","","","","129",""
"2019年","46000","鹿児島県","918708","","584839","","19.4","","32.1","","5.5","","21","","","","125",""
"2019年","47000","沖縄県","228100","","106409","","23.9","","31.8","","15.8","","7","","","","135",""
"2020年","01000","北海道","7842138","","","","10.0","","28.1","","-5.3","","13","","","","151",""
"2020年","02000","青森県","964564","","","","11.6","","29.5","","-1.7","","-","データが得られないことを示している。","","","159",""
"2020年","03000","岩手県","1527501","","","","11.4","","30.4","","-3.3","","-","データが得られないことを示している。","","","131",""
"2020年","04000","宮城県","728229","","","","13.7","","30.9","","0.5","","12","","","","99",""
"2020年","05000","秋田県","1163752","","","","12.8","","30.3","","-0.8","","-","データが得られないことを示している。","","","192",""
"2020年","06000","山形県","932315","","","","13.0","","32.7","","-1.3","","-","データが得られないことを示している。","","","127",""
"2020年","07000","福島県","1378414","","","","14.1","","33.6","","0.3","","-","データが得られないことを示している。","","","108",""
"2020年","08000","茨城県","609739","","","","15.0","","32.2","","0.2","","-","データが得られないことを示している。","","","122",""
"2020年","09000","栃木県","640809","","","","15.0","","33.6","","0.2","","-","データが得られないことを示している。","","","105",""
"2020年","10000","群馬県","636228","","","","15.8","","35.1","","1.7","","-","データが得られないことを示している。","","","96",""
"2020年","11000","埼玉県","379775","","","","16.2","","35.6","","1.2","","-","データが得られないことを示している。","","","101",""
"2020年","12000","千葉県","515757","","","","17.0","","33.2","","4.5","","-","データが得られないことを示している。","","","115",""
"2020年","13000","東京都","219403","","","","16.5","","34.1","","3.7","","29","","","","108",""
"2020年","14000","神奈川県","241611","","","","17.0","","33.7","","4.7","","-","データが得られないことを示している。","","","108",""
"2020年","15000","新潟県","1258396","","","","14.7","","31.5","","1.5","","10","","","","182",""
"2020年","16000","富山県","424758","","","","15.4","","33.9","","1.6","","-","データが得られないことを示している。","","","186",""
"2020年","17000","石川県","418621","","","","15.9","","32.9","","2.8","","-","データが得られないことを示している。","","","194",""
"2020年","18000","福井県","419052","","","","15.6","","34.0","","2.2","","-","データが得られないことを示している。","","","181",""
"2020年","19000","山梨県","446527","","","","15.9","","35.8","","0.2","","-","データが得られないことを示している。","","","89",""
"2020年","20000","長野県","1356156","","","","13.1","","33.5","","-2.1","","-","データが得られないことを示している。","","","106",""
"2020年","21000","岐阜県","1062129","","","","17.0","","35.9","","2.8","","-","データが得られないことを示している。","","","110",""
"2020年","22000","静岡県","777735","","","","17.8","","33.4","","4.6","","-","データが得られないことを示している。","","","108",""
"2020年","23000","愛知県","517307","","","","17.0","","35.9","","3.1","","31","","","","112",""
"2020年","24000","三重県","577449","","","","17.1","","33.6","","3.8","","-","データが得られないことを示している。","","","109",""
"2020年","25000","滋賀県","401738","","","","15.8","","34.2","","2.4","","-","データが得られないことを示している。","","","135",""
"2020年","26000","京都府","461220","","","","17.0","","36.2","","3.3","","-","データが得られないことを示している。","","","112",""
"2020年","27000","大阪府","190532","","","","17.7","","35.7","","4.7","","24","","","","102",""
"2020年","28000","兵庫県","840102","","","","17.6","","34.0","","5.1","","-","データが得られないことを示している。","","","98",""
"2020年","29000","奈良県","369094","","","","16.3","","35.8","","2.3","","-","データが得られないことを示している。","","","105",""
"2020年","30000","和歌山県","472465","","","","17.5","","34.5","","4.3","","-","データが得られないことを示している。","","","106",""
"2020年","31000","鳥取県","350714","","","","15.9","","35.0","","2.3","","-","データが得られないことを示している。","","","156",""
"2020年","32000","島根県","670769","","","","15.8","","34.0","","2.1","","-","データが得られないことを示している。","","","137",""
"2020年","33000","岡山県","711433","","","","16.5","","35.6","","1.6","","-","データが得られないことを示している。","","","85",""
"2020年","34000","広島県","847965","","","","17.1","","34.5","","3.6","","26","","","","99",""
"2020年","35000","山口県","611254","","","","16.1","","35.1","","0.8","","-","データが得られないことを示している。","","","112",""
"2020年","36000","徳島県","414675","","","","17.5","","34.6","","4.6","","-","データが得られないことを示している。","","","92",""
"2020年","37000","香川県","187678","","","","17.4","","35.5","","3.1","","33","","","","87",""
"2020年","38000","愛媛県","567619","","","","17.3","","34.5","","4.2","","-","データが得られないことを示している。","","","95",""
"2020年","39000","高知県","710363","","","","17.8","","34.0","","3.9","","-","データが得られないことを示している。","","","115",""
"2020年","40000","福岡県","498651","","","","17.9","","34.5","","5.2","","28","","","","107",""
"2020年","41000","佐賀県","244069","","","","17.5","","34.5","","2.9","","-","データが得られないことを示している。","","","108",""
"2020年","42000","長崎県","413098","","","","17.7","","32.8","","4.7","","-","データが得られないことを示している。","","","118",""
"2020年","43000","熊本県","740946","","","","17.6","","35.2","","1.8","","-","データが得られないことを示している。","","","106",""
"2020年","44000","大分県","634076","","","","17.4","","34.2","","3.4","","-","データが得られないことを示している。","","","105",""
"2020年","45000","宮崎県","773522","","","","18.3","","33.7","","3.7","","-","データが得られないことを示している。","","","120",""
"2020年","46000","鹿児島県","918706","","","","19.2","","34.2","","6.1","","42","","","","127",""
"2020年","47000","沖縄県","228259","","","","23.8","","32.2","","16.1","","3","","","","129",""
"2021年","01000","北海道","7842135","","","","10.2","","29.0","","-8.2","","","","","","122",""
"2021年","02000","青森県","964562","","","","11.5","","28.4","","-4.4","","","","","","152",""
"2021年","03000","岩手県","1527501","","","","11.4","","29.8","","-6.5","","","","","","131",""
"2021年","04000","宮城県","728229","","","","13.7","","28.7","","-2.3","","","","","","106",""
"2021年","05000","秋田県","1163752","","","","12.9","","30.5","","-3.3","","","","","","175",""
"2021年","06000","山形県","932313","","","","12.7","","31.1","","-4.2","","","","","","141",""
"2021年","07000","福島県","1378414","","","","14.0","","30.4","","-2.1","","","","","","114",""
"2021年","08000","茨城県","609724","","","","15.0","","30.7","","-1.9","","","","","","97",""
"2021年","09000","栃木県","640809","","","","14.9","","30.7","","-2.2","","","","","","105",""
"2021年","10000","群馬県","636228","","","","15.7","","31.7","","-0.3","","","","","","102",""
"2021年","11000","埼玉県","379775","","","","16.0","","32.0","","-1.1","","","","","","91",""
"2021年","12000","千葉県","515731","","","","17.1","","31.0","","2.3","","","","","","106",""
"2021年","13000","東京都","219405","","","","16.6","","31.6","","1.3","","","","","","107",""
"2021年","14000","神奈川県","241611","","","","17.0","","31.2","","2.5","","","","","","105",""
"2021年","15000","新潟県","1258395","","","","14.5","","30.8","","-0.8","","","","","","162",""
"2021年","16000","富山県","424754","","","","15.1","","31.5","","-0.1","","","","","","171",""
"2021年","17000","石川県","418620","","","","15.7","","31.1","","1.1","","","","","","169",""
"2021年","18000","福井県","419052","","","","15.4","","31.6","","0.2","","","","","","175",""
"2021年","19000","山梨県","446527","","","","15.7","","32.4","","-1.7","","","","","","86",""
"2021年","20000","長野県","1356156","","","","12.9","","30.9","","-3.2","","","","","","101",""
"2021年","21000","岐阜県","1062129","","","","16.8","","32.3","","1.1","","","","","","118",""
"2021年","22000","静岡県","777728","","","","17.7","","31.3","","2.6","","","","","","103",""
"2021年","23000","愛知県","517315","","","","16.8","","32.0","","1.5","","","","","","111",""
"2021年","24000","三重県","577447","","","","16.9","","31.0","","2.6","","","","","","117",""
"2021年","25000","滋賀県","401738","","","","15.7","","31.3","","0.8","","","","","","126",""
"2021年","26000","京都府","461220","","","","16.9","","32.8","","1.6","","","","","","110",""
"2021年","27000","大阪府","190534","","","","17.5","","32.5","","3.0","","","","","","99",""
"2021年","28000","兵庫県","840094","","","","17.5","","31.3","","3.0","","","","","","94",""
"2021年","29000","奈良県","369094","","","","16.3","","32.5","","1.0","","","","","","106",""
"2021年","30000","和歌山県","472468","","","","17.4","","31.2","","3.1","","","","","","95",""
"2021年","31000","鳥取県","350714","","","","15.9","","32.0","","0.7","","","","","","149",""
"2021年","32000","島根県","670770","","","","15.9","","31.2","","1.3","","","","","","151",""
"2021年","33000","岡山県","711433","","","","16.4","","32.3","","-0.1","","","","","","91",""
"2021年","34000","広島県","847922","","","","17.1","","31.7","","1.7","","","","","","92",""
"2021年","35000","山口県","611255","","","","16.4","","32.9","","-0.2","","","","","","108",""
"2021年","36000","徳島県","414699","","","","17.3","","31.2","","2.3","","","","","","99",""
"2021年","37000","香川県","187692","","","","17.3","","32.1","","1.9","","","","","","97",""
"2021年","38000","愛媛県","567612","","","","17.4","","31.9","","2.6","","","","","","96",""
"2021年","39000","高知県","710360","","","","17.6","","31.1","","2.1","","","","","","103",""
"2021年","40000","福岡県","498686","","","","18.2","","33.2","","3.8","","","","","","102",""
"2021年","41000","佐賀県","244067","","","","17.9","","33.1","","2.3","","","","","","101",""
"2021年","42000","長崎県","413098","","","","18.1","","31.7","","4.0","","","","","","116",""
"2021年","43000","熊本県","740939","","","","17.9","","32.7","","1.8","","","","","","98",""
"2021年","44000","大分県","634070","","","","17.4","","31.0","","2.8","","","","","","87",""
"2021年","45000","宮崎県","773500","","","","18.2","","30.9","","3.2","","","","","","127",""
"2021年","46000","鹿児島県","918642","","","","19.3","","32.1","","5.5","","","","","","116",""
